job_id,job_title,company,job_function,job_type,industry,career_level,years_of_experience,qualification,benefits
100003008740398,"Programmer (Flutter, PHP)",Better Pi Limited,"Information Technology (IT), Application Specialist - Software, Software Development, E-commerce, Software Development",Full Time,,Entry Level,1 year,Non-Degree Tertiary,"Five-day work week, Flexible working hours"
100003008656075,Project Coordinator,Wictle International Company Limited,"Sales, CS & Business Devpt, Business Development, Marketing / Public Relations, Management, Others",Full Time,,Entry Level,1 year,Non-Degree Tertiary,
100003008738269,IT Support (Windows Server/ O365)- 20-29k,Ambition,"Information Technology (IT), Support, Others","Full Time, Permanent",,Middle,5 years,Degree,
100003008738533,Data Scientist/Engineer,Ubizense Limited,"Information Technology (IT), Data Scientist",Full Time,,Middle,N/A,Degree,"Dental insurance, Gratuity, Medical insurance, Transportation allowance, Five-day work week"
100003008736703,Accountant - Global FInTech Startup,Foris Limited,"Accounting, Accountant",Full Time,,,3 years,Degree,"Dental insurance, Housing allowance, Medical insurance, Work from home, Five-day work week, Flexible working hours"
100003008737830,Quality Technologist (Seasonal/Toy),Randstad Hong Kong Limited,"Engineering, Manufacturing & Production, Merchandising & Purchasing, Toy, Manufacturing, Quality Assurance, Control & Testing / ISO","Full Time, Permanent",,Middle,N/A,Degree,
100003008738528,Assistant – Customer Services (Ref: SML/CSA/JDB/15),HKR International Ltd,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Property / Real Estate, Property Management, Others","Full Time, Permanent",,Entry Level,2 years,School Certificate,"Dental insurance, Education allowance, Medical insurance, Performance bonus, Transportation allowance"
100003008734904,In-store Trainer (Hong Kong),Christian Dior Far East Limited,"Admin & HR, Training & Development","Full Time, Permanent",,Middle,3 years,Non-Degree Tertiary,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008734357,Secretary with HR & Admin Duty,Asia Standard Management Services Ltd,"Property / Real Estate, Others","Full Time, Permanent",,,3 years,,"Medical insurance, Five-day work week"
100003008736128,Assistant Growth Marketing Manager,Hutchison Telecommunications (Hong Kong) Limited,"Marketing / Public Relations, Marketing - Direct Marketing, Marketing - General / Support, Marketing - Market Research","Full Time, Permanent",,Middle,,Degree,"Education allowance, Free shuttle bus, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008738493,Assistant Officer - Property,Urban Group,"Property / Real Estate, Property Management, Others","Full Time, Permanent",,Entry Level,N/A,Non-Degree Tertiary,
100003008736408,Assistant Manager / Senior Executive - Overseas Marketing & Distributors Management,,"Marketing / Public Relations, Marketing - Brand / Product Management, Public Relations - Event Management, Sales, CS & Business Devpt, Channel / Distribution","Full Time, Permanent",,Middle,4 years,Degree,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008735182,Marketing Executive (6-month contract),Global Sources,"Marketing / Public Relations, Marketing - General / Support, Marketing - Marketing Communication, Public Relations - General / Support","Full Time, Contract",,,1 year,Non-Degree Tertiary,Five-day work week
100003008734779,Assistant Manager (Facilities Management),Yew Chung College of Early Childhood Education Limited,"Admin & HR, Administration / Operation Manager, Property / Real Estate, Property Management, Others","Full Time, Contract",,Middle,3 years,Degree,"Medical insurance, Five-day work week"
100003008736500,Senior Merchandiser-Hong Kong,Chal-Tec GmbH,"Merchandising & Purchasing, Home Appliances",Full Time,,Middle,5 years,Non-Degree Tertiary,"Dental insurance, Double pay, Medical insurance, Performance bonus, Five-day work week"
100003008739855,"Country Lead, Cargo and Marine",QBE General Insurance (Hong Kong) Limited,"Insurance, Underwriter",Full Time,,Senior,6 years,Degree,"Dental insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours"
100003008736649,Scientific Officer (Specialised in Mass Spectrometry),The Hong Kong Polytechnic University,"Sciences, Lab, R&D, Chemical, Life Science, Research & Development (R&D)",Full Time,,Middle,5 years,Postgraduate,
100003008738540,Draftsman 繪圖員,Token Engineering Ltd,"Design, Others, Engineering, Draftsman, Building & Construction, Others","Full Time, Permanent",,Entry Level,1 year,School Certificate,
100003008738327,Assistant Engineer,HKT,"Engineering, Electrical / Electronics, Telecommunication / Wireless / Radio, Others, Others",Permanent,,Entry Level,N/A,Degree,
100003008738691,美容院主管,Oasis Beauty Company Limited,"Beauty Care / Health, Others","Full Time, Permanent",,Middle,1 year,School Certificate,"Double pay, Life insurance, Medical insurance"
100003008738105,Executive Director (Blockchain & Crypto Company),PERSOLKELLY Hong Kong Limited,"Information Technology (IT), IT Project Management / Team Lead",Full Time,,,,,
100003008736527,Center Manager (Mister English/Ref No.J21058),Mister English Group Limited,"Admin & HR, Others, Education, Others, Sales, CS & Business Devpt, Sales Administration",Full Time,,Entry Level,N/A,Matriculated,"Medical insurance, Overtime pay, Performance bonus, Five-day work week"
100003008735138,Accounting Clerk,Intertek Testing Services H.K. Ltd.,"Accounting, Accounting Clerk / Supervisor, Others, Sciences, Lab, R&D, Laboratory","Full Time, Permanent",,Entry Level,1 year,Non-Degree Tertiary,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008738909,System Analyst (Senior Business Analyst),Hong Kong Air Cargo Terminals Ltd,"Information Technology (IT), IT Project Management / Team Lead, Product Management / Business Analyst, Others","Full Time, Permanent",,Middle,6 years,Degree,"Dental insurance, Double pay, Free shuttle bus, Life insurance, Medical insurance, Performance bonus, Transportation allowance, Five-day work week, Flexible working hours"
100003008738773,"Senior Architect, IT",Guotai Junan International Holdings Limited,"Information Technology (IT), IT Project Management / Team Lead","Full Time, Permanent",,Middle,10 years,Degree,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008735342,"Community Associate [Customer Service, Events, Sales and Operations]",Hong Kong Hive Limited,"Hospitality / F & B, Others",Full Time,,Entry Level,1 year,,Five-day work week
100003008734114,Assistant / Officer - Brokerage Sales Support,Yuanta Securities (Hong Kong) Company Limited,"Admin & HR, Clerical / Admin Staff, Banking / Finance, Investment, Financial Services","Full Time, Permanent",,Entry Level,1 year,Degree,"Dental insurance, Life insurance, Medical insurance, Overtime pay, Performance bonus, Five-day work week"
100003008738074,Deskside Support Engineer,Long Data Technology Ltd,"Information Technology (IT), Support, Technical / Functional Consulting, Others",Full Time,,,,,
100003008738671,Legal Secretary - Large Listed Conglomerate; 5 Day; Quarry Bay!,Knight Recruitment Services Limited,"Admin & HR, Secretary, Professional Services, Legal & Compliance, Property / Real Estate, Property Consultancy","Full Time, Permanent",,Entry Level,4 years,Degree,"Dental insurance, Medical insurance, Performance bonus"
100003008739660,倉務員 / Warehouse Assistant,,"Transportation & Logistics, Inventory / Warehousing",Full Time,,,5 years,School Certificate,Five-day work week
100003008734515,Assistant Officer | Administration (Facilities Management),Arup,"Admin & HR, Clerical / Admin Staff, Property / Real Estate, Property Management","Full Time, Permanent",,,3 years,Non-Degree Tertiary,"Double pay, Life insurance, Medical insurance, Overtime pay, Performance bonus, Five-day work week, Flexible working hours"
100003008740037,Garment Merchandiser (Woven / Knit / Lingerie),Eternity Consultants (HK) Ltd,"Manufacturing, Garment / Textile, Merchandising & Purchasing, Sweater, Woven / Knit","Full Time, Permanent",,Middle,3 years,Matriculated,"Double pay, Medical insurance, Performance bonus, Five-day work week"
100003008737284,Account Manager/ Executive,Spoon Digital Limited,"Media & Advertising, Account Servicing, Creative / Design, Marketing / Public Relations, Marketing - General / Support","Full Time, Permanent",,Middle,2 years,Degree,"Medical insurance, Five-day work week"
100003008734824,Warehouse Assistant 倉務助理,Yue Po Engineering Co Ltd,"Transportation & Logistics, Fulfillment, Inventory / Warehousing, Supply Chain","Full Time, Permanent",,Entry Level,1 year,School Certificate,"Medical insurance, Performance bonus, Five-day work week"
100003008739709,Regional Sourcing Manager,China Telecom Global Limited,"Engineering, Telecommunication / Wireless / Radio, Others, Information Technology (IT), Network & System","Full Time, Permanent",,,,,"Double pay, Education allowance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008735766,助理資料室主任,Hong Kong Economic Journal Company Limited,"Media & Advertising, Print Media",Permanent,,,,,"Medical insurance, Performance bonus, Five-day work week"
100003008739429,Fund Accounting Manager (Inhouse Type4/9),思達資本(香港)有限公司,"Banking / Finance, Financial Services, Fund Management, Asset Management",Full Time,,Middle,3 years,Degree,"Double pay, Medical insurance, Performance bonus, Five-day work week"
100003008737708,Research Intern / Researcher,SenseTime Group Limited,"Information Technology (IT), Software Development, Sciences, Lab, R&D, Research & Development (R&D), Data Scientist","Full Time, Part Time, Contract, Internship",,Entry Level,,Degree,"Five-day work week, Flexible working hours"
